Job Title,Alternative Job Titles,Description keywords
architectural manager,design manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
architectural manager,construction manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
architectural manager,infrastructure manager,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
armoring technician,armor operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
armoring technician,cable operator,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
bearing engineer,application engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""bearing"""
bearing engineer,mechanical design engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""bearing"""
bearing engineer,precision mechanical engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""bearing"""
blade core engineer,engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""blade"""
blade testing engineer,engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"" AND ""blade"" AND ""test"""
blasting technician,sandblaster paint sprayer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
blasting technician,industrial painter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
blasting technician,dip painter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
blasting technician,finish painter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
blasting technician,production painter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
blasting technician,transportation equipment painter,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
blasting technician,applier,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
cable machine operator,cable manufacturing technician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
cable machine operator,wiring technician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
cable splicer,cable technician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
cable splicer,line technician,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
cable testing inspector,cable testing engineer,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
casting machinist,hub casting machinist,"""wind energy"" OR ""offshore wind"" OR ""wind power"" OR ""wind project"""
